hotspot_id,latitude_center,longitude_center,total_violations,junction_name,police_station,dominant_vehicle_type,dominant_violation_type,dominant_offence_code
H100,12.978982911188861,77.69526599405917,575,Unmapped Location,Mahadevapura,MAXI-CAB,NO PARKING,113
H155,13.039807091606715,77.517288325,556,Unmapped Location,Peenya,CAR,NO PARKING,113
H2,12.83995883669212,77.67710985645354,477,Unmapped Location,Electronic City,SCOOTER,NO PARKING,113
H140,13.031823952571584,77.55932361744658,477,Unmapped Location,Yeshwanthpura,CAR,WRONG PARKING,112
H112,12.989556613521142,77.50319309170207,464,Unmapped Location,Kamakshipalya,SCOOTER,NO PARKING,113
H37,12.905181353965967,77.70048890114522,421,Unmapped Location,Bellandur,CAR,WRONG PARKING,112
H90,12.968755732402672,77.74858209123252,403,Unmapped Location,Whitefield,CAR,NO PARKING,113
H194,13.099034148110832,77.58342813198992,397,Unmapped Location,Yelahanka,SCOOTER,NO PARKING,113
H20,12.888648870645882,77.56275051644256,385,Unmapped Location,Thalagattapura,SCOOTER,NO PARKING,113
H41,12.9081817546803,77.54724293010369,367,Unmapped Location,K.S. Layout,CAR,PARKING IN A MAIN ROAD | WRONG PARKING,107 | 112
H66,12.9267196696793,77.55071047230321,343,BTP155 - Katriguppe Junction,Banashankari,SCOOTER,NO PARKING,113
H10,12.875420837904358,77.54233837728324,340,Unmapped Location,Thalagattapura,CAR,WRONG PARKING,112
H124,13.007668174702381,77.5805757452381,336,Unmapped Location,Sadashivanagar,CAR,NO PARKING,113
H137,13.022268675100202,77.63917859168697,316,Unmapped Location,Banaswadi,SCOOTER,WRONG PARKING,112
H96,12.973133967656766,77.5093558349835,303,Unmapped Location,Jnanabharathi,CAR,NO PARKING,113
H1,12.820388560409556,77.68766548976109,293,Unmapped Location,Electronic City,SCOOTER,PARKING IN A MAIN ROAD | WRONG PARKING,107 | 112
H121,13.007778098444067,77.7583580455424,276,Unmapped Location,Mahadevapura,CAR,NO PARKING,113
H92,12.960036825327261,77.73220328008418,251,Unmapped Location,Whitefield,CAR,NO PARKING,113
H171,13.050494744400002,77.52553118239999,250,Unmapped Location,Jalahalli,SCOOTER,NO PARKING,113
H71,12.934975759016393,77.53651790614755,244,Unmapped Location,Banashankari,SCOOTER,NO PARKING,113
H109,12.987117015662156,77.51954193886941,239,Unmapped Location,Kamakshipalya,SCOOTER,NO PARKING,113
H162,13.04583421885965,77.75027977368421,228,Unmapped Location,K.R. Pura,CAR,NO PARKING,113
H174,13.05728048156682,77.54693831751153,217,Unmapped Location,Jalahalli,CAR,NO PARKING,113
H51,12.917171238388626,77.5960605535545,211,"BTP202 - East End Main Road, Jayanagar",Jayanagara,CAR,NO PARKING | WRONG PARKING | PARKING ON FOOTPATH,113 | 112 | 105
H24,12.894512620772947,77.59892760386474,207,Unmapped Location,J.P. Nagar,CAR,NO PARKING,113
H168,13.05422688615723,77.50748921743295,203,Unmapped Location,Chikkabanavara,CAR,NO PARKING,113
H186,13.070455450495048,77.63118966831684,202,Unmapped Location,Hennuru,CAR,NO PARKING,113
